ID,Bucket,Criterion,What pass requires,Notes,Conditional,Source,Critical
PR-01,D — Nonprofit Value,The reporting population is defined,"Pass: The output states the supplied reporting period, eligible population, included population, and relevant program or cohort boundaries. Fail: a material boundary is missing, incompatible populations or periods are combined, or the reported group is broader than the evidence supports.",,,INT-PR|CDC-EVAL,false
PR-02,R — Evidence / Rigor,Findings map to source and method,"Pass: Each result identifies its source, collection or calculation method, and period, or clearly labels the exact missing element. Fail: a result cannot be traced to its evidence and method, or is attributed to the wrong source or period.",,,INT-PR|CDC-EVAL,false
PR-03,R — Evidence / Rigor,Rates show complete denominators,Each rate states numerator; denominator; eligible population; exclusions; missing responses; and rounding.,,When rates or participant counts appear,INT-PR|CDC-EVAL,true
PR-04,D — Nonprofit Value,Response coverage is assessed,"Pass: Survey or feedback findings state who was invited, who responded, and which people or records may be missing. Fail: findings are reported without response coverage, or nonresponse and missing groups are treated as if they do not affect interpretation.",,When survey or feedback results appear,INT-PR|CDC-EVAL,false
PR-05,R — Evidence / Rigor,Duplicate and incompatible records are handled,Repeat respondents; duplicate records; definition changes; and incompatible periods are detected or explicitly left unresolved.,,When the packet permits a duplication or comparability check,INT-PR|CDC-EVAL,true
PR-06,D — Nonprofit Value,Observed results and interpretation are separate,"Pass: The output clearly distinguishes what records show, what respondents reported, staff interpretation, and evaluator interpretation. Fail: interpretation is presented as observed fact, staff opinion as participant voice, or one evidence type as another.",,,INT-PR|AEA-PRINCIPLES,false
PR-07,D — Nonprofit Value,Findings follow goals or outcomes,Each major result is organized under a supplied goal or outcome and does not imply an unsupplied objective.,,When goals or outcomes are supplied,INT-PR|CDC-EVAL,false
PR-08,D — Nonprofit Value,Qualitative themes preserve collection path,"Pass: Each qualitative theme identifies whether it came from direct responses, staff summaries, or another method, and summaries are not turned into direct speech. Fail: the collection path is missing or misrepresented, or staff-mediated language is presented as a participant quotation.",,When qualitative feedback is supplied,INT-PR|AEA-PRINCIPLES,false
PR-09,D — Nonprofit Value,Representativeness is not overstated,"Pass: The language states the actual coverage limits and qualifies conclusions to match them. Fail: a small, selective, incomplete, or staff-mediated set is described as representative of a broader population without support.",Generic wording such as 'participants said' does not fix an unsupported population-wide conclusion.,When evidence coverage is incomplete or selective,INT-PR|CDC-EVAL|AEA-PRINCIPLES,false
PR-10,O — Output / Usability,Limitations lead to next questions,"Pass: Each material limitation states how it affects interpretation and names the next data or staff question needed. Fail: limitations are generic, omit their consequence, or provide no actionable way to reduce the uncertainty.",,,INT-PR|CDC-EVAL,false
PR-11,R — Evidence / Rigor,The quote log is destination-specific,Every considered person-level quotation records source; fidelity; attribution; collection path; consent scope; and destination or states that none are usable.,,,INT-PR|OPC-CONSENT|NIST-PF,true
PR-12,O — Output / Usability,Recipient copy and staff notes are distinct,"Pass: Recipient-ready findings exclude internal review notes, while the staff note preserves unresolved questions, source limits, and destination constraints. Fail: staff-only material appears in recipient copy, or information staff need for review is omitted from the staff surface.",,,INT-PR|NIST-PF,false
PR-13,O — Output / Usability,Outcome tables include decision-useful context,"Pass: Each outcome-table row includes the result, source, method, limitation, and enough context to interpret the result without an unsupported comparison. Fail: a technically correct number is presented without the context needed to understand what it means.","Context can include the target, baseline, eligible population, period, or limitation when supplied and relevant.","When the requested deliverable requires, or the output includes, an outcomes table",INT-PR|CDC-EVAL,false
PR-14,O — Output / Usability,Destination and approval needs are explicit,The staff note records the intended destination or a needs-input marker and names the staff decision required before use.,,,INT-PR|INT-SHARED,false
PR-15,D — Nonprofit Value,The most decision-relevant findings are prioritized,"Pass: The summary leads with the supplied goals and the findings that materially change understanding or action, while retaining important contrary or null results. Fail: it lists every result equally, buries the main finding, or cherry-picks only favorable results.","Priority must follow the stated goals and evidence, not novelty or positive sentiment.",When the packet contains more than one material finding,INT-PR|CDC-EVAL,false
PR-16,R — Evidence / Rigor,Uncertainty and small groups are handled honestly,"Pass: Exact counts, missingness, instability, and disclosure risk are stated when small samples or cells limit interpretation; unsupported precision is avoided. Fail: a fragile result is presented as stable, or a small cell is disclosed without considering identification risk.",A confidence interval is not universally required. The response should use the strongest uncertainty description supported by the packet.,"When a result depends on a small sample, small subgroup, or unstable estimate",INT-PR|CDC-EVAL|NIST-PF,false
PR-17,D — Nonprofit Value,"Comparisons use the right baseline, target, or benchmark","Pass: Supplied baselines, targets, prior periods, or benchmarks are compared only when definitions, populations, and periods are compatible; otherwise the limitation is explicit. Fail: an attractive but invalid comparison is used to imply progress or underperformance.",No comparison is better than a misleading one. Do not require a benchmark the packet does not provide.,"When the packet supplies or requests a baseline, target, prior period, or benchmark",INT-PR|CDC-EVAL,false
PR-18,D — Nonprofit Value,"Disaggregation is useful, supported, and safe","Pass: Relevant supplied groups are compared when doing so answers the stated question and the data support a safe interpretation; unsafe or underpowered cuts are omitted or generalized with the reason stated. Fail: meaningful differences are hidden, unsupported subgroup conclusions are drawn, or small groups are exposed.","Do not require demographic cuts by default. Relevance, evidentiary support, and disclosure safety must all be present.",When group-level data are supplied and disaggregation is relevant to the stated purpose,INT-PR|AEA-PRINCIPLES|NIST-PF,false
