ID,Bucket,Criterion,What pass requires,Notes,Conditional,Source,Critical
GR-01,O — Output / Usability,Every template field is mapped,The field map records each supplied question; order; limit; requested period; evidence need; source; and completion status.,,When a template or reporting instructions are supplied,INT-GR|GRANTS-REPORT,false
GR-02,O — Output / Usability,Template order is preserved,Each recipient field follows the supplied template order and no blank or difficult field is silently omitted.,,When a template is supplied,INT-GR,false
GR-03,D — Nonprofit Value,Reporting scope is explicit,"Pass: Current and cumulative periods, populations, program scopes, and financial scopes remain distinct and match the requested reporting window. Fail: incompatible periods or populations are combined, or a cumulative figure is presented as current-period performance.",,,INT-GR|GRANTS-REPORT,false
GR-04,O — Output / Usability,Field status reflects completeness,"Pass: A multi-part field remains needs-input until every required component is available; reported-unverified is used only for a fully disclosed unresolved conflict. Fail: an incomplete field is marked complete, or an ordinary missing input is mislabeled as a verified reportable value.",,,INT-GR,false
GR-05,R — Evidence / Rigor,Program figures reconcile,Counts; rates; totals; and changes preserve operands; units; periods; and population definitions or expose the unresolved mismatch.,,When program figures appear,INT-GR|CDC-EVAL,true
GR-06,R — Evidence / Rigor,Financial figures reconcile,Requested; awarded; budgeted; actual; variance; and remaining-balance values retain distinct roles and reconcile for the same period.,,When financial figures appear,INT-GR|GRANTS-REPORT|ECFR-200,true
GR-07,D — Nonprofit Value,Conflicting values remain visible,"Pass: Every safe conflicting value and its source are shown neutrally, the choice remains unresolved, and the matching decision is assigned to staff. Fail: a value is selected, averaged, or omitted without authority, or the conflict is hidden from the recipient or staff view that needs it.",,When sources conflict on a requested value,INT-GR,false
GR-08,R — Evidence / Rigor,Conflict-dependent calculations stay separate,Each supported source-contingent result is calculated and labeled separately without averaging; selecting; or omitting the conflict.,,When a requested calculation depends on conflicting values,INT-GR,true
GR-09,D — Nonprofit Value,Actuals; targets; and plans are separated,"Pass: Observed results, planned targets, explanations, and next-period plans retain their distinct roles in every requested field. Fail: a target or future plan is presented as completed performance, or an explanation is stated as an observed result.",,When such elements are requested or supplied,INT-GR|TBS-THEORY,false
GR-10,O — Output / Usability,Missing inputs align across artifacts,"Pass: Each missing field has one canonical needs-input status, a visible recipient action, and a matching staff gap for the same item. Fail: artifacts disagree about what is missing, the recipient sees plausible completion, or staff lose the action needed to resolve the gap.",,When a requested component is missing,INT-GR,false
GR-11,O — Output / Usability,Available content remains useful,"Pass: Supported fields are drafted in concise, audience-appropriate language, while unavailable fields remain specific actions. Fail: missing information blocks usable work, or polished language hides an unresolved requirement.",Plain language means a funder can understand the answer on first reading; it does not require erasing necessary technical terms.,,INT-GR,false
GR-12,O — Output / Usability,Fact audiences are correct,"Pass: Every recipient-facing value is authorized for that audience in the canonical record, and staff-only values remain outside recipient content. Fail: staff-only material leaks to the recipient, or a recipient value cannot be matched to its canonical audience designation.",,,INT-GR|NIST-PF,true
GR-13,M — Model / Procedural Controls,Renderer routing follows the template class,A supported simple DOCX template produces DOCX; absent; portal-constrained; or unsupported templates produce portal HTML with the reason recorded.,,When office-file tools are available,INT-GR,false
GR-14,M — Model / Procedural Controls,Written artifacts pass semantic readback,Each actual file is reopened and compared with the canonical field; fact; calculation; gap; source; and audience records; DOCX render availability and page count are recorded separately.,,When file artifacts are produced,INT-GR,true
GR-15,M — Model / Procedural Controls,Artifacts pass security and path checks,HTML has no active or remote content; DOCX has no prohibited active features; and all output paths stay within the assigned workspace without traversal or symlinks.,,When file artifacts are produced,INT-GR|OWASP-PI|NIST-PF,true
GR-16,O — Output / Usability,Rendered artifacts are visually usable,"Pass: Inspection finds no clipping, overlap, missing content, unreadable text, or broken heading/table hierarchy. Fail: any material content is hidden, cut off, illegible, or visually associated with the wrong section.","This is a bounded visual-usability check, not a claim of WCAG conformance.",For every holdout Grant Report artifact and only preregistered development samples,INT-GR|WCAG22,true
GR-17,D — Nonprofit Value,Progress is assessed against the funded commitments,"Pass: Reported activities, outputs, outcomes, milestones, and spending are compared with the supplied award commitments for the correct period, with unsupported comparisons left open. Fail: the report describes activity without showing progress against what the funder approved or requested.",Apply only to commitments present in the award or reporting packet; do not invent an approved target.,"When the packet supplies award objectives, milestones, targets, work plans, or budgets",INT-GR|GRANTS-REPORT,false
GR-18,D — Nonprofit Value,Challenges and material variances are explained candidly,"Pass: Material delays, shortfalls, overperformance, budget variance, or changed conditions are disclosed candidly. Explain them with supplied evidence where available; where an explanation is unavailable or conflicting, state that the explanation is unavailable or identify the exact conflict, and name the specific source or staff question needed, without asserting a cause. Fail: a material variance is omitted or minimized, an available explanation is ignored, a missing explanation is hidden or left vague, blame or a cause is invented, or generic positive language replaces the variance and its explanation or specific gap.",Candid reporting can still describe mitigation and context; candor does not require unsupported self-criticism.,"When actual performance or spending materially differs from a supplied commitment, plan, or expectation",INT-GR|GRANTS-REPORT,false
GR-19,D — Nonprofit Value,Lessons and adaptations are specific and evidence-linked,"Pass: When learning or next steps are requested or supplied, the report connects each lesson or adaptation to a result, challenge, or feedback source and distinguishes completed changes from future plans. Fail: lessons are generic, adaptations are unsupported, or a planned change is presented as completed.",Do not manufacture a lesson merely to sound reflective.,"When the report asks for or the packet supplies learning, adaptations, or next-period plans",INT-GR|CDC-EVAL,false
