ID,Bucket,Criterion,What pass requires,Notes,Conditional,Source,Critical
GP-01,D — Nonprofit Value,Every funder requirement is inventoried,"Pass: The requirement map captures every supplied question, limit, attachment, date, budget field, and formatting rule. Fail: a supplied requirement is omitted, merged beyond recognition, or recorded without enough detail to verify completion.",,When funder instructions are supplied,INT-GP|ECFR-200,false
GP-02,O — Output / Usability,The application follows funder order,Recipient sections appear in the required sequence and no supplied question is silently omitted.,,When funder instructions are supplied,INT-GP,false
GP-03,O — Output / Usability,Response limits are respected,Each recipient response stays within its supplied word or character limit after final rendering.,,When a response limit is supplied,INT-GP,false
GP-04,O — Output / Usability,Attachments and deadlines are not invented,"Pass: Required attachments and deadlines are tracked exactly as supplied, while absent or conflicting information remains a specific actionable gap. Fail: an attachment or date is invented, silently omitted, or treated as settled despite a source conflict.",,When instructions mention or omit an operational requirement needed for completion,INT-GP|ECFR-200,false
GP-05,D — Nonprofit Value,Need statements use current evidence,"Pass: Claims about need, population, geography, and urgency use current supplied evidence and state the evidence period. Fail: the proposal relies on stale, out-of-scope, or unsupported need claims.",A source can be accurate but still fail when its period or population does not match the proposed work.,When the application includes a need statement,INT-GP|AEA-PRINCIPLES,false
GP-06,D — Nonprofit Value,Approach and work plan are grounded,"Pass: The approach, staffing, partners, milestones, and timing reflect current supplied plans or visible staff decisions. Fail: a generic or invented work plan is presented as the organization's committed approach.",Do not reward invented specificity. A visible decision needed from staff is preferable to a plausible fabrication.,When the application asks for approach or implementation,INT-GP,false
GP-07,D — Nonprofit Value,Outcomes and measures are distinguishable,"Pass: Proposed outcomes, outputs, indicators, targets, and historical results retain their distinct roles throughout the proposal. Fail: an output is presented as an outcome, a measure as a target, or a past result as a future promise.",,When outcomes or measures are requested,INT-GP|CDC-EVAL,false
GP-08,D — Nonprofit Value,Capacity claims are supported,"Pass: Every material capacity claim is supported by current evidence about experience, staffing, partnerships, or prior work. Fail: generic confidence, an old proposal, or an unsupported partner claim is used as proof of capacity.",Past experience passes only when the source supports its continued relevance to the proposed work.,When the application asks for capacity,INT-GP,false
GP-09,D — Nonprofit Value,Evaluation and learning plans are feasible,"Pass: The evaluation plan uses measures, timing, responsibilities, and collection methods the packet shows are available or realistically proposed; known gaps remain visible. Fail: the proposal promises data, access, frequency, or analysis capacity the packet does not support.",Example: monthly collection by a named role using an available system can pass; an intensive weekly survey with no owner or tool fails.,When evaluation or learning is requested,INT-GP|CDC-EVAL,false
GP-10,R — Evidence / Rigor,Request and budget reconcile,The request; line-item sum; total budget; match or cost share; indirect costs; and period reconcile or every missing comparator and mismatch is flagged.,,When a request or budget is supplied,INT-GP|ECFR-200,true
GP-11,D — Nonprofit Value,Budget rules remain explicit,Allowable indirect-cost; match; cost-share; and restricted-cost rules are applied only when supplied and otherwise remain needs-input items.,,When such a rule is relevant to the supplied request,INT-GP|ECFR-200,true
GP-12,D — Nonprofit Value,Historical results are not promises,"Pass: Past actuals, proposed targets, and forecasts are labeled separately, and causal or guaranteed language is used only when supported. Fail: a historical result becomes a promise, a forecast is presented as committed fact, or unsupported causation or certainty is added.",,When historical or proposed results appear,INT-GP|TBS-THEORY,true
GP-13,O — Output / Usability,Voice examples do not override facts,A past proposal or voice sample guides tone only; stale names; dates; amounts; and claims are not copied as current facts.,,When a past proposal or voice sample is supplied,INT-GP,false
GP-14,O — Output / Usability,The staff appendix supports completion,"Pass: The staff appendix maps requirements, sources, budget reconciliation, conflicts, gaps, owners, and open questions without counting as funder prose. Fail: a material completion issue is absent from the appendix, cannot be traced to an owner or source, or leaks into recipient-facing word counts.",,,INT-GP,false
GP-15,M — Model / Procedural Controls,Blocking gaps remain visible,"Pass: Every missing required answer and unresolved conflict remains visible to staff and is not represented as compliant, complete, signed, or submitted. Fail: a blocker is hidden, falsely resolved, or described as approved or submission-ready without staff action.",,,INT-GP|INT-SHARED,true
GP-16,D — Nonprofit Value,The proposal demonstrates real funder-program fit,"Pass: The proposal connects the supplied funder priorities and eligibility to the organization's relevant program, population, geography, and request using supported specifics. Fail: fit is asserted through generic praise, copied funder language, or an unsupported priority.","This criterion is about demonstrated fit, not compliance with the question order, which is scored separately.","When funder priorities, eligibility, or selection criteria are supplied",INT-GP,false
GP-17,D — Nonprofit Value,The proposal makes one coherent case for support,"Pass: The need, population, approach, outputs, outcomes, evaluation, request, and budget reinforce the same sourced program strategy. Fail: sections are individually plausible but contradict one another, change scope, or leave the request disconnected from the work.","Judge cross-section coherence, not rhetorical flourish.",,INT-GP,false
GP-18,D — Nonprofit Value,The work plan and requested resources are feasible,"Pass: Activities, milestones, staffing, timing, reach, and costs are mutually plausible given the supplied capacity and request, or the unresolved feasibility decision is explicit. Fail: the proposal promises delivery that the stated time, people, partnerships, or budget cannot support.",A cautious gap can pass; invented staff capacity or an unexplained scale jump cannot.,"When the application describes implementation, scale, timing, staffing, or cost",INT-GP|CDC-EVAL,false
GP-19,D — Nonprofit Value,Implementation dependencies are credible,"Pass: Material partner commitments, continuation assumptions, risks, and contingencies requested by the funder or necessary to understand delivery are supported or visibly unresolved. Fail: an unconfirmed partner, unfunded continuation, or ignored delivery risk is presented as settled.",Score only dependencies material to the proposed work; do not require a generic sustainability section when the opportunity does not call for one.,"When delivery depends on partners, continuation funding, material assumptions, or requested risk planning",INT-GP,false
