ID,Bucket,Criterion,What pass requires,Notes,Conditional,Source,Critical
LM-01,D — Nonprofit Value,Program elements come from supplied facts,"Pass: Every resource, activity, output, outcome, and target in the main model comes from supplied facts or is explicitly marked as a gap. Fail: an unsourced program element is presented as current, agreed, or measured fact.",,,INT-LM|CDC-LM,false
LM-02,R — Evidence / Rigor,Counts preserve their meaning,Unique people; contacts; sessions; completions; and other units remain distinct unless the sources support a conversion.,,When counts appear in the sources or model,INT-LM|CDC-EVAL,true
LM-03,D — Nonprofit Value,The results chain is ordered,"Pass: The model shows a readable path from resources and activities through outputs to every supplied outcome horizon, with no required stage silently skipped. Fail: a stage is missing, out of order, or connected so ambiguously that the intended results chain cannot be followed.",,,INT-LM|CDC-LM|TBS-THEORY,false
LM-04,D — Nonprofit Value,Activities and outputs are distinct,"Pass: Program actions are labeled as activities, while products, reach, participation, and other direct results are labeled as outputs. Fail: an activity is presented as an output, an output as an activity, or the distinction is left unusably unclear.",,,INT-LM|CDC-LM,false
LM-05,D — Nonprofit Value,Outcome horizons are distinct,Short; medium; and long-term outcomes retain their supplied timing and are not replaced with unsourced progression.,,When the sources define more than one outcome horizon,INT-LM|CDC-LM|TBS-THEORY,false
LM-06,O — Output / Usability,Every result has a stable Model ID,Each output and outcome has one stable ID that is reused wherever that result is referenced.,,,INT-LM,false
LM-07,O — Output / Usability,Every result maps to measurement,The measurement plan contains each output and outcome Model ID exactly once or gives a clearly linked actionable gap.,,,INT-LM|CDC-EVAL,false
LM-08,D — Nonprofit Value,Measures are operationally defined,"Pass: For each measure, the output states every operational detail supported or decided in the packet—definition, source, timing, owner, and numerator and denominator when relevant. If a required detail is unavailable or undecided, it identifies that exact gap and the specific staff input or decision needed, and does not present the measure as implementation-ready. Fail: the output silently omits or invents a required detail, overlooks an available detail, leaves an unavailable detail vague or unactionable, uses an undefined success label, or cannot match the measure to its result.",,When a measure is supplied or proposed in the grounded plan,INT-LM|CDC-EVAL,false
LM-09,D — Nonprofit Value,Assumptions and external factors are visible,"Pass: Each supplied or materially necessary assumption, risk, dependency, or external factor is attached to the link it affects; an unavailable necessary factor becomes a specific question. Fail: a material factor is omitted, invented, or listed without showing which link it affects.",Example: a transportation dependency linked to attendance is specific; a detached list headed 'Assumptions' is not enough.,When a factor is supplied or is materially needed to assess a causal link,INT-LM|TBS-THEORY|CDC-LM,false
LM-10,D — Nonprofit Value,Weak causal links are exposed,"Pass: Unsupported leaps, capacity mismatches, and unverified mechanisms are visibly flagged at the link they affect. Fail: a weak or unsupported causal link is presented as established program logic without a limitation or staff question.",,,INT-LM|TBS-THEORY,true
LM-11,D — Nonprofit Value,Existing models are reviewed without adoption,"Pass: Useful supplied structure is preserved, while unsupported content in an existing model remains visibly under review and names the evidence or decision needed. Fail: the existing model is adopted wholesale despite unsupported content, or supported structure is discarded without reason.",,When the input includes an existing logic model,INT-LM,false
LM-12,R — Evidence / Rigor,Brainstormed options stay separate,"Pass: Unsourced ideas appear only as clearly labeled options for staff consideration and remain separate from adopted program facts and results. Fail: a brainstormed idea is presented as a selected outcome, current activity, target, or established fact.",,"When the task requests options, a supplied program link is materially unresolved and permits options, or the output adds new elements",INT-LM|TBS-THEORY,false
LM-13,O — Output / Usability,The main model is readable,"Pass: A staff reader can follow each path and find its assumptions, measures, and limits without decoding unexplained references. Fail: labels conflict, links are ambiguous, or supporting details cannot be matched to the model.","Judge the main staff-facing model, not the evaluator's ability to reconstruct it from source files.",,INT-LM|CDC-LM,false
LM-14,O — Output / Usability,Gaps ask answerable questions,Each missing stage; measure; assumption; or external factor names the decision or source staff must supply.,,,INT-LM|CDC-EVAL,false
LM-15,R — Evidence / Rigor,Participant examples are safe,Any person-level example is supported; necessary; and consented for the stated use or is generalized without invented identifying detail.,,When a person-level example is requested or included,INT-LM|INT-SHARED|OPC-CONSENT,true
LM-16,D — Nonprofit Value,The measurement approach is feasible and proportionate,"Pass: Proposed measures can be collected with the supplied staff, systems, timing, access, and participant burden, or each material feasibility gap is explicit and names the specific staff input or decision needed before implementation. Fail: the plan assumes unsupported data, access, capacity, or ownership; proposes disproportionate collection; leaves a material feasibility gap hidden, vague, or unactionable; or claims feasibility or readiness while a required owner or other dependency remains unresolved.",Example: monthly attendance from an existing system with a named owner can pass; weekly participant surveys with no collection capacity fail.,"When the requested deliverable requires, or the output proposes, a measurement plan",INT-LM|CDC-EVAL,false
LM-17,D — Nonprofit Value,The model supports an intended decision or learning use,"Pass: The model identifies or preserves the supplied planning, learning, funding, or evaluation use and makes the relevant links and gaps easy to act on; if no purpose is supplied, it asks a specific staff question about intended use. Fail: it invents a purpose or is structurally complete but gives staff no clear way to use it.",Do not infer a purpose merely because one is common for this artifact type.,,INT-LM|CDC-EVAL,false
LM-18,D — Nonprofit Value,Relevant perspectives and equity assumptions are visible,"Pass: When sources identify differing participant, community, partner, or access perspectives, the model reflects them or states whose perspective is missing and how that limits the logic. Fail: one perspective is silently treated as universal or a material access assumption is hidden.",This does not require demographic speculation or boilerplate equity language; it applies only to supplied or materially relevant perspectives.,"When the packet identifies differing perspectives, access barriers, or affected groups",INT-LM|CDC-LM|AEA-PRINCIPLES,false
